	TCGA-BT-A20N	TCGA-BT-A20Q
AMN1	229.2213	265.0177
AMN	2.6247	0.8834
AMOTL1	12629.9213	12513.2509
AMOTL2	8889.7638	4028.2686
AMOT	454.0682	412.5442
AMPD1	2.6247	0.0
AMPD2	613.2983	633.3922
AMPD3	57.7428	24.735
AMPH	48.119	106.8905
AMTN	0.0	0.0
AMT	287.839	223.3216
AMY1A	0.8749	1.7668
AMY2A	0.8749	0.0
AMY2B	62.1172	88.9576
AMZ1	2.6247	0.8834
AMZ2P1	237.0954	321.5548
AMZ2	1010.4987	1294.1696
ANAPC10	123.3596	112.1908
ANAPC11	887.1391	934.629
ANAPC13	834.8906	1234.8587
ANAPC16	3029.7463	3250.8834
ANAPC1	688.5389	549.47
ANAPC2	650.0437	659.894
ANAPC4	539.8075	663.4276
ANAPC5	1651.7935	1627.2085
ANAPC7	888.014	1249.1166
ANGEL1	322.8346	406.3604
ANGEL2	476.8154	439.9293
ANGPT1	417.3228	287.9859
ANGPT2	182.8521	112.1908
ANGPT4	1.7498	1.7668
ANGPTL1	1436.5704	1286.2191
ANGPTL2	6072.6159	8202.2968
ANGPTL3	0.0	0.8834
ANGPTL4	583.5521	472.6148
ANGPTL5	25.3718	35.3357
ANGPTL6	0.0	1.1572
ANGPTL7	349.0814	107.7739
ANG	157.0691	228.7014
ANK1	8.7489	17.6678
ANK2	1749.7813	1440.8127
ANK3	293.9633	219.0813
ANKAR	34.1207	30.0353
ANKDD1A	207.3491	336.5724
ANKFN1	1.7498	0.0
ANKFY1	1692.0385	1655.477
ANKHD1-EIF4EBP3	1056.343	715.1943
ANKHD1	1771.6623	1803.2332
ANKH	957.1304	1495.583
ANKIB1	1216.098	1186.3958
ANKK1	2.6247	5.3004
ANKLE1	6.9991	4.417
ANKLE2	1187.2266	932.8622
ANKMY1	117.2353	176.6784
ANKMY2	566.9291	728.7986
ANKRA2	257.2178	258.8339
ANKRD10	1293.5696	1445.2297
ANKRD11	2772.9309	2998.3127
ANKRD12	1662.2922	1455.8304
ANKRD13A	2507.4366	3598.0565
ANKRD13B	172.3535	277.3852
ANKRD13C	671.0411	614.841
